Sample in Buffer,Sample in Window,TRIGGER,xgmii_rxd[63:0],xgmii_rxc[7:0]
196,196,0,0707070707070707,ff
197,197,0,0707070707070707,ff
198,198,0,0707070707070707,ff
199,199,0,0707070707070707,ff
200,200,0,0707070707070707,ff
201,201,0,0707070707070707,ff
202,202,0,0707070707070707,ff
203,203,0,0707070707070707,ff
204,204,0,0707070707070707,ff
205,205,0,0707070707070707,ff
206,206,0,0707070707070707,ff
207,207,0,0707070707070707,ff
208,208,0,0707070707070707,ff
209,209,0,0707070707070707,ff
210,210,0,0707070707070707,ff
211,211,0,0707070707070707,ff
212,212,0,0707070707070707,ff
213,213,0,0707070707070707,ff
214,214,0,0707070707070707,ff
215,215,0,0707070707070707,ff
216,216,0,0707070707070707,ff
217,217,0,0707070707070707,ff
218,218,0,0707070707070707,ff
219,219,0,0707070707070707,ff
220,220,0,0707070707070707,ff
221,221,0,0707070707070707,ff
222,222,0,0707070707070707,ff
223,223,0,0707070707070707,ff
224,224,0,0707070707070707,ff
225,225,0,0707070707070707,ff
226,226,0,0707070707070707,ff
227,227,0,0707070707070707,ff
228,228,0,0707070707070707,ff
229,229,0,0707070707070707,ff
230,230,0,0707070707070707,ff
231,231,0,0707070707070707,ff
232,232,0,0707070707070707,ff
233,233,0,0707070707070707,ff
234,234,0,0707070707070707,ff
235,235,0,0707070707070707,ff
236,236,0,0707070707070707,ff
237,237,0,0707070707070707,ff
238,238,0,0707070707070707,ff
239,239,0,0707070707070707,ff
240,240,0,0707070707070707,ff
241,241,0,0707070707070707,ff
242,242,0,0707070707070707,ff
243,243,0,0707070707070707,ff
244,244,0,0707070707070707,ff
245,245,0,0707070707070707,ff
246,246,0,0707070707070707,ff
247,247,0,0707070707070707,ff
248,248,0,0707070707070707,ff
249,249,0,0707070707070707,ff
250,250,0,0707070707070707,ff
251,251,0,0707070707070707,ff
252,252,0,0707070707070707,ff
253,253,0,0707070707070707,ff
254,254,0,0707070707070707,ff
255,255,0,0707070707070707,ff
256,256,0,0707070707070707,ff
257,257,0,0707070707070707,ff
258,258,0,0707070707070707,ff
259,259,0,0707070707070707,ff
260,260,0,0707070707070707,ff
261,261,0,0707070707070707,ff
262,262,0,0707070707070707,ff
263,263,0,0707070707070707,ff
264,264,0,0707070707070707,ff
265,265,0,0707070707070707,ff
266,266,0,0707070707070707,ff
267,267,0,0707070707070707,ff
268,268,0,0707070707070707,ff
269,269,0,0707070707070707,ff
270,270,0,0707070707070707,ff
271,271,0,0707070707070707,ff
272,272,0,0707070707070707,ff
273,273,0,0707070707070707,ff
274,274,0,0707070707070707,ff
275,275,0,0707070707070707,ff
276,276,0,0707070707070707,ff
277,277,0,0707070707070707,ff
278,278,0,0707070707070707,ff
279,279,0,0707070707070707,ff
280,280,0,0707070707070707,ff
281,281,0,0707070707070707,ff
282,282,0,0707070707070707,ff
283,283,0,0707070707070707,ff
284,284,0,0707070707070707,ff
285,285,0,0707070707070707,ff
286,286,0,0707070707070707,ff
287,287,0,0707070707070707,ff
288,288,0,0707070707070707,ff
289,289,0,0707070707070707,ff
290,290,0,0707070707070707,ff
291,291,0,0707070707070707,ff
292,292,0,0707070707070707,ff
293,293,0,0707070707070707,ff
294,294,0,0707070707070707,ff
295,295,0,0707070707070707,ff
296,296,0,0707070707070707,ff
297,297,0,0707070707070707,ff
298,298,0,0707070707070707,ff
299,299,0,0707070707070707,ff
300,300,0,0707070707070707,ff
301,301,0,0707070707070707,ff
302,302,0,0707070707070707,ff
303,303,0,0707070707070707,ff
304,304,0,0707070707070707,ff
305,305,0,0707070707070707,ff
306,306,0,0707070707070707,ff
307,307,0,0707070707070707,ff
308,308,0,0707070707070707,ff
309,309,0,0707070707070707,ff
310,310,0,0707070707070707,ff
311,311,0,0707070707070707,ff
312,312,0,0707070707070707,ff
313,313,0,0707070707070707,ff
314,314,0,0707070707070707,ff
315,315,0,0707070707070707,ff
316,316,0,0707070707070707,ff
317,317,0,0707070707070707,ff
318,318,0,0707070707070707,ff
319,319,0,0707070707070707,ff
320,320,0,0707070707070707,ff
321,321,0,0707070707070707,ff
322,322,0,0707070707070707,ff
323,323,0,0707070707070707,ff
324,324,0,0707070707070707,ff
325,325,0,0707070707070707,ff
326,326,0,0707070707070707,ff
327,327,0,0707070707070707,ff
328,328,0,0707070707070707,ff
329,329,0,0707070707070707,ff
330,330,0,0707070707070707,ff
331,331,0,0707070707070707,ff
332,332,0,0707070707070707,ff
333,333,0,0707070707070707,ff
334,334,0,0707070707070707,ff
335,335,0,0707070707070707,ff
336,336,0,0707070707070707,ff
337,337,0,0707070707070707,ff
338,338,0,0707070707070707,ff
339,339,0,0707070707070707,ff
340,340,0,0707070707070707,ff
341,341,0,0707070707070707,ff
342,342,0,0707070707070707,ff
343,343,0,0707070707070707,ff
344,344,0,0707070707070707,ff
345,345,0,0707070707070707,ff
346,346,0,0707070707070707,ff
347,347,0,0707070707070707,ff
348,348,0,0707070707070707,ff
349,349,0,0707070707070707,ff
350,350,0,0707070707070707,ff
351,351,0,0707070707070707,ff
352,352,0,0707070707070707,ff
353,353,0,0707070707070707,ff
354,354,0,0707070707070707,ff
355,355,0,0707070707070707,ff
356,356,0,0707070707070707,ff
357,357,0,0707070707070707,ff
358,358,0,0707070707070707,ff
359,359,0,0707070707070707,ff
360,360,0,0707070707070707,ff
361,361,0,0707070707070707,ff
362,362,0,0707070707070707,ff
363,363,0,0707070707070707,ff
364,364,0,0707070707070707,ff
365,365,0,0707070707070707,ff
366,366,0,0707070707070707,ff
367,367,0,0707070707070707,ff
368,368,0,0707070707070707,ff
369,369,0,0707070707070707,ff
370,370,0,0707070707070707,ff
371,371,0,0707070707070707,ff
372,372,0,0707070707070707,ff
373,373,0,0707070707070707,ff
374,374,0,0707070707070707,ff
375,375,0,0707070707070707,ff
376,376,0,0707070707070707,ff
377,377,0,0707070707070707,ff
378,378,0,0707070707070707,ff
379,379,0,0707070707070707,ff
380,380,0,0707070707070707,ff
381,381,0,0707070707070707,ff
382,382,0,0707070707070707,ff
383,383,0,0707070707070707,ff
384,384,0,0707070707070707,ff
385,385,0,0707070707070707,ff
386,386,0,0707070707070707,ff
387,387,0,0707070707070707,ff
388,388,0,0707070707070707,ff
389,389,0,0707070707070707,ff
